date,total_sleep_hrs,light_sleep_hrs,deep_sleep_hrs,rem_sleep_hrs,awake_hrs,latency_mins,interruptions,consistency_score,sleep_score,suggestion
2024-01-01,4.5,1.2,0.5,0.4,6.0,60,8,30,28,"Poor sleep. Improve sleep hygiene and reduce interruptions."
2024-01-02,5.0,1.5,0.7,0.5,5.5,55,7,35,33,"Poor sleep. Try reducing latency and awake time."
2024-01-03,5.2,1.6,0.8,0.5,5.2,52,6,37,36,"Poor to average. Focus on consistent bedtime."
2024-01-04,5.5,1.7,0.8,0.6,5.0,50,6,40,38,"Poor to average. Work on reducing interruptions."
2024-01-05,6.0,2.0,1.0,0.8,4.5,45,5,45,45,"Average sleep. Moderate quality, improve latency."
2024-01-06,6.2,2.1,1.1,0.8,4.3,43,5,47,47,"Average sleep. Maintain regular sleep schedule."
2024-01-07,6.5,2.3,1.2,1.0,4.0,40,4,50,50,"Average sleep. Good routine, but improve deep sleep."
2024-01-08,6.8,2.5,1.3,1.1,3.8,38,4,52,52,"Average sleep. Focus on reducing latency."
2024-01-09,7.0,2.8,1.5,1.2,3.5,35,3,60,58,"Good sleep. Reduce interruptions for better quality."
2024-01-10,7.2,2.9,1.5,1.3,3.3,33,3,62,60,"Good sleep. Improve sleep hygiene."
2024-01-11,7.5,3.0,1.7,1.3,3.0,30,2,65,65,"Good sleep. Maintain sleep consistency."
2024-01-12,7.7,3.2,1.8,1.4,2.8,28,2,67,67,"Good sleep. Keep sleep environment optimal."
2024-01-13,8.0,3.4,2.0,1.5,2.5,25,1,75,73,"Better sleep. Excellent deep and REM sleep."
2024-01-14,8.2,3.5,2.1,1.6,2.3,22,1,77,75,"Better sleep. Good sleep latency."
2024-01-15,8.5,3.7,2.3,1.7,2.0,20,1,80,78,"Great sleep. Maintain regular schedule."
2024-01-16,8.7,3.8,2.4,1.8,1.8,18,1,82,80,"Great sleep. Excellent sleep stages."
2024-01-17,9.0,4.0,2.5,2.0,1.5,15,0,85,85,"Excellent sleep. Near optimal deep and REM sleep."
2024-01-18,9.1,4.1,2.6,2.1,1.4,12,0,87,88,"Excellent sleep. Keep up the great routine."
2024-01-19,9.3,4.2,2.7,2.2,1.3,10,0,90,90,"Excellent sleep. Minimal interruptions."
2024-01-20,9.5,4.3,2.9,2.3,1.1,8,0,92,92,"Near perfect sleep. Optimal sleep stages."
2024-01-21,9.6,4.4,3.0,2.4,1.0,7,0,93,94,"Near perfect sleep. Excellent consistency."
2024-01-22,9.7,4.5,3.1,2.5,0.9,6,0,95,95,"Best sleep quality. Keep up the great habits."
2024-01-23,9.8,4.6,3.2,2.6,0.8,5,0,97,97,"Perfect sleep. Optimal deep, REM, minimal awake time."
2024-01-24,9.9,4.7,3.3,2.7,0.7,4,0,98,98,"Perfect sleep. Ideal sleep duration and stages."
2024-01-25,10.0,4.8,3.4,2.8,0.6,3,0,100,100,"Perfect sleep. Ideal sleep quality."
2024-01-26,5.0,1.4,0.6,0.5,5.5,52,7,40,38,"Poor sleep. Improve sleep hygiene."
2024-01-27,5.2,1.5,0.7,0.5,5.3,50,6,42,40,"Poor sleep. Increase total sleep hours."
2024-01-28,5.5,1.7,0.8,0.6,5.0,48,6,45,44,"Poor to average. Work on latency."
2024-01-29,5.7,1.8,0.9,0.6,4.8,46,5,47,46,"Average sleep. Improve deep sleep."
2024-01-30,6.0,2.0,1.0,0.8,4.5,45,5,50,50,"Average sleep. Good start."
2024-01-31,6.3,2.2,1.1,0.9,4.2,43,4,52,52,"Average sleep. Maintain consistency."
2024-02-01,6.5,2.3,1.2,1.0,4.0,40,4,55,55,"Average sleep. Improve interruptions."
2024-02-02,6.7,2.4,1.3,1.1,3.8,38,3,57,57,"Average sleep. Good sleep latency."
2024-02-03,7.0,2.7,1.5,1.3,3.5,35,3,60,60,"Good sleep. Reduce awake time."
2024-02-04,7.2,2.9,1.6,1.4,3.3,33,3,62,62,"Good sleep. Maintain routine."
